"","cell_type","X1_Pre.AVG_Signal","X1_Post.AVG_Signal","X2_Pre.AVG_Signal","X2_Post.AVG_Signal","X3_Pre.AVG_Signal","X3_Post.AVG_Signal","X4_Pre.AVG_Signal","X4_Post.AVG_Signal","X5_Pre.AVG_Signal","X5_Post.AVG_Signal","X6_Pre.AVG_Signal","X6_Post.AVG_Signal","X7_Pre.AVG_Signal","X7_Post.AVG_Signal","X8_Pre.AVG_Signal","X8_Post.AVG_Signal","X9_Pre.AVG_Signal","X9_Post.AVG_Signal","X10_Pre.AVG_Signal","X10_Post.AVG_Signal","X11_Pre.AVG_Signal","X11_Post.AVG_Signal","X12_Pre.AVG_Signal","X12_Post.AVG_Signal","X13_Pre.AVG_Signal","X13_Post.AVG_Signal","X14_Pre.AVG_Signal","X14_Post.AVG_Signal","X15_Pre.AVG_Signal","X15_Post.AVG_Signal","X16_Pre.AVG_Signal","X16_Post.AVG_Signal","X17_Pre.AVG_Signal","X17_Post.AVG_Signal"
"1","stroma score",1210.75039743988,1776.01252101719,1420.25131600357,1437.52120254145,1375.62536796901,749.018636882072,1388.34588599338,1457.77274379181,1079.32837225229,1325.47598643051,860.985737584519,1355.01654582373,741.686897982526,1514.3832649545,1257.50329326162,2032.09584449206,1249.99407099654,1716.46999750317,1727.15258616317,1925.21092164564,1573.26307433882,1207.59728309971,1036.13919017068,1807.58479995894,1385.29668707897,1821.11433830171,810.249199274458,1650.88852560398,83.6126990488641,1382.66246536119,1088.11318788834,1025.93130073317,1068.91589437313,1167.25881234773
"2","immune score",1353.66032460841,1757.64417932123,1023.38870559566,606.861621028415,1683.43522236353,1291.9889273376,2244.2626725188,1183.61611031348,1625.81040645865,1280.59988170893,543.605550503361,1636.64042691722,270.994405261624,1146.11425163726,1861.51569777722,2279.42264117692,1687.80481847527,1950.24779297306,1825.88275840098,1932.56228614273,1369.69752205606,1268.3558075337,1820.49348461047,1814.97228483033,2600.38837178345,2668.78577041767,1443.83282184891,1533.0103188212,563.563948012988,2145.90718093319,1549.13630708252,1604.19921569669,1351.01194797649,1433.35388602914
"3","estimate score",2564.41072204829,3533.65670033841,2443.64002159924,2044.38282356986,3059.06059033254,2041.00756421967,3632.60855851217,2641.3888541053,2705.13877871094,2606.07586813943,1404.59128808788,2991.65697274095,1012.68130324415,2660.49751659176,3119.01899103885,4311.51848566898,2937.7988894718,3666.71779047623,3553.03534456416,3857.77320778838,2942.96059639488,2475.95309063341,2856.63267478115,3622.55708478926,3985.68505886242,4489.90010871938,2254.08202112337,3183.89884442518,647.176647061852,3528.56964629438,2637.24949497086,2630.13051642986,2419.92784234962,2600.61269837688
"4","tumor purity",0.555848541006439,0.43236080862365,0.570497204915179,0.617623540502008,0.494078420623442,0.618013122315759,0.419218472334096,0.546420170028884,0.538559140378773,0.550754079719513,0.688654236206939,0.502656172489767,0.729204866959156,0.544068863330907,0.4864074696952,0.326811859942511,0.509474799679612,0.414667600275036,0.429794120983148,0.388987950888065,0.508822681909209,0.566595227463646,0.519690445550991,0.42055754572657,0.371623169372432,0.301956104631876,0.593126014030488,0.478064453674245,0.764851704654372,0.433034006430982,0.546928949226863,0.547803488692223,0.573352418358682,0.55142324747223
