"","TCGA.3C.AALI.01","TCGA.A2.A04W.01","TCGA.A2.A04X.01","TCGA.A2.A0CX.01","TCGA.A2.A0D1.01","TCGA.A2.A0EQ.01","TCGA.A2.A0T1.01","TCGA.A2.A3XV.01","TCGA.A2.A3XZ.01","TCGA.A8.A07I.01","TCGA.A8.A08B.01","TCGA.A8.A08J.01","TCGA.A8.A08L.01","TCGA.A8.A08X.01","TCGA.A8.A094.01","TCGA.A8.A09G.01","TCGA.A8.A09X.01","TCGA.A8.A0A7.01","TCGA.AC.A23H.01","TCGA.AC.A3W5.01","TCGA.AC.A5EH.01","TCGA.AN.A04C.01","TCGA.AN.A0FV.01","TCGA.AO.A0J2.01","TCGA.AO.A0JE.01","TCGA.AO.A12D.01","TCGA.AR.A0TX.01","TCGA.AR.A24U.01","TCGA.AR.A254.01","TCGA.B6.A0I9.01","TCGA.B6.A0IK.01","TCGA.B6.A0RH.01","TCGA.B6.A0RS.01","TCGA.BH.A0AW.01","TCGA.BH.A0B7.01","TCGA.BH.A0EE.01","TCGA.BH.A18P.01","TCGA.BH.A18R.01","TCGA.BH.A1EN.01","TCGA.BH.A1EV.01","TCGA.BH.A203.01","TCGA.C8.A12L.01","TCGA.C8.A12P.01","TCGA.C8.A12Q.01","TCGA.C8.A12T.01","TCGA.C8.A12Z.01","TCGA.C8.A135.01","TCGA.C8.A137.01","TCGA.C8.A138.01","TCGA.C8.A1HF.01","TCGA.C8.A1HK.01","TCGA.C8.A26X.01","TCGA.C8.A26Y.01","TCGA.C8.A275.01","TCGA.C8.A278.01","TCGA.C8.A8HP.01","TCGA.D8.A13Z.01","TCGA.D8.A1JA.01","TCGA.D8.A1JF.01","TCGA.D8.A1JG.01","TCGA.D8.A1XJ.01","TCGA.D8.A1XT.01","TCGA.E2.A14P.01","TCGA.E2.A14V.01","TCGA.E2.A152.01","TCGA.E2.A1B0.01","TCGA.E2.A1LB.01","TCGA.E9.A1RH.01","TCGA.E9.A248.01","TCGA.EW.A1OV.01","TCGA.EW.A2FR.01","TCGA.EW.A6SD.01","TCGA.GM.A2DB.01","TCGA.GM.A2DH.01","TCGA.LL.A5YO.01","TCGA.OL.A5RZ.01","TCGA.OL.A66P.01","TCGA.UU.A93S.01"
"CAPZB",4216.97,5633.39,5770.21,4642.11,9328.78,7680.83,7264.14,5117.85,7539.28,4837.39,6101.59,4660.01,6335.03,5043.5,5737.04,3196.51,5502.64,5991.36,4562.67,6113.12,5671.75,8791.27,6545.18,6916.37,4946.86,5223.6,6325.21,4952.11,4364.16,3557.36,7057.23,7848.69,4095.33,8509.34,5789.14,6889.71,4946.63,2641.6,3123.32,4284.85,5611.4,2605.46,4058.85,4203,7900.18,3734.48,7845.62,6862.45,7598.82,12874.4,5685.92,6054.2,5908.83,4700.5,6230.06,8123.96,5231.58,3093.17,3172.98,3061.12,5086.46,4095.24,6770.93,4444.33,7445.93,4146.12,8266.88,3731.35,5292.65,4555.91,7483.8,3630.04,7092.47,4753.06,6454.08,9722.25,7106.47,3500.72
"CARD10",221.86,153.451,107.777,272.477,121.483,191.503,675.664,104.086,466.575,100.981,439.929,213.905,307.424,81.448,345.409,209.979,156.473,144.091,305.884,489.099,343.918,229.119,219.364,282.946,117.647,213.534,284.941,52.9637,340.623,172.084,334.682,161.094,289.141,171.477,348.284,167.699,508.476,346.508,451.859,186.281,315.827,215.061,81.773,165.982,344.452,479.902,196.774,292.087,224.477,467.478,151.538,147.451,380.297,251.545,56.4829,440.529,374.996,39.0033,51.3081,129.617,365.065,99.4775,483.781,422.695,943.899999999999,137.579,141.076,291.174,191,227.321,364.418,125.275,106.637,177.932,154.757,221.483,233.094,123.01
"CARD11",221.316,30.258,209.065,93.6333,24.9559,375.959,341.577,39.5699,526.189,119.502,67.1378,126.746,143.401,144.735,139.288,249.77,209.873,533.962,22.614,276.018,192.165,50.3635,61.4498,103.433,281.947,244.623,299.492,211.193,136.308,47.1638,50.289,52.6135,107.323,295.416,258.399,58.5774,87.5217,82.0208,55.8869,71.0197,84.2445,51.4444,92.8544,137.622,91.1131,16.7179,144.24,28.6776,233.209,172.854,26.5066,191.548,68.227,190.35,129.246,261.279,173.819,22.2102,54.2068,189.639,38.0465,97.8901,98.5182,23.733,97.754,68.1396,91.6545,13.6389,299.45,681.962,141.272,183.932,203.579,368.97,836.569,77.2379,366.906,21.7077
"CARD14",219.685,406.862,181.31,507.315,261.33,30.6736,154.309,272.688,1035.49,200.198,119.258,813.041,579.949,393.367,83.6977,620.447,274.035,65.1747,147.884,327.849,718.351,392.268,342.583,484.399,171.197,296.047,976.988,241.978,127.879,292.543,100.578,118.294,57.4495,383.135,166.905,130.544,130.733,432.987,227.041,169.982,315.827,154.333,265.953,720.352,232.45,132.268,466.359,51.5135,363.169,81.9721,501.625,6.8902,393.453,287.438,151.175,345.131,257.76,96.9664,326.111,134.791,43.1798,212.713,209.451,154.264,116.751,88.9343,697.742,388.233,91.9391,106.013,188.362,625.118,421.327,217.21,293.543,154.987,71.223,329.957
"CARD16",100.598,57.2741,245.832,97.6693,16.0094,149.637,205.995,79.1398,157.133,64.822,109.541,64.8703,76.4594,191.579,83.6977,112.642,235.124,277.974,18.7458,129.165,56.4948,75.1906,17.6668,140.191,232.86,325.844,105.245,173.787,145.317,91.4595,71.6763,320.495,120.581,260.894,271.98,534.895,25.634,54.0862,22.2278,23.6732,135.15,57.3803,292.319,54.0339,88.002,88.9982,103.687,25.4912,417.619,283.041,43.5109,261.369,261.588,159.165,203.006,187.149,159.514,57.9632,56.236,165.319,57.0698,100.536,61.674,24.3923,39.9723,93.5759,28.3051,83.7364,184.526,170.359,78.2843,244.684,129.008,112.125,422.966,23.0179,493.525,167.149
"CARD17",0,0,6.1278,0,0,3.3161,0.3745,0,1.3784,0.441,0,0,0.3173,0,0,0.9183,0.414,2.7483,0,0.8227,0,0,0,5.4139,2.8398,1.9224,0.3384,0.662,0,0.3187,0,10.3164,0,0,0,3.0126,0,0.2972,0,0,0.3585,0.7915,6.1139,0.2985,0,0.4917,0.9217,0,0,1.782,0,4.5935,5.8131,0.2942,1.329,1.8229,0.2699,0,0,8.5376,1.5098,0,0,0,0,0.557,0,0,1.6186,1.0549,0.2999,0,0,1.3038,3.3044,0,5.7554,4.3415
"CARD18",0,0,0,0,0.9417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3918,0,0,0,0,0.4806,0,0,0,0.3187,0.578,0,0,0,0.7148,0,0,0,0,0,0,0.3957,0,0.5971,0,0,0,0,0,0,0,0,27.2296,0,0,0.6076,0,7.3131,0,0,0,0,0,0,0,0,0.4493,2.8547,9.0644,2.1097,0.2999,0,13.4228,0,0,0,0,0
"CARD6",103.317,146.427,128.323,195.742,51.7952,166.218,320.978,44.7312,129.221,194.907,36.2191,138.057,145.622,277.459,139.288,155.188,221.049,275.226,90.1584,215.96,123.711,183.72,107.153,67.246,427.18,234.531,268.697,283.356,257.793,78.0752,106.936,121.045,114.583,242.218,563.974,601.172,90.4513,94.7994,180.998,91.9763,178.168,165.809,203.668,238.525,129.336,87.0313,679.263,93.9989,264.03,166.914,103.526,327.515,144.409,180.936,228.922,107.55,448.583,135.97,271.324,203.092,129.237,251.604,78.4942,94.6024,156.723,145.377,334.269,180.477,261.897,217.3,322.736,399.707,211.782,109.778,203.222,20.9719,123.741,36.1795
"CARD8",628.602,142.105,884.203,364.443,262.743,884.56,626.225,230.107,610.269,556.058,344.523,386.893,446.066,774.122,590.881,572.085,431.336,716.529,399.911,627.314,338.969,754.743999999999,364.858,208.292,473.834,574.793,521.151,746.126,608.879,679.414,386.705,427.442,967.803,658.744,712.294,449.875,412.707,339.376,388.033,498.302,668.579,376.336,536.492,509.889,414.231,256.669,444.7,421.668,793.117,749.926,474.118,595.315,424.966,666.078,670.153,476.379,372.74,513.272,561.78,636.958,345.438,525.432,376.452,490.812,493.915,310.806,440.75,267.703,654.257,993.671,450.21,675.395,656.972,852.933,774.886,267.008,617.986,319.826
"CARD9",294.725,50.2499,20.9066,92.8262,9.4173,75.4404,161.051,517.85,312.199,30.4266,58.3039,23.2868,49.8096,67.8633,98.0637,33.3639,346.89,93.4433,178.234,176.882,53.6082,179.464,90.6385,432.255,95.3347,34.6029,187.14,57.267,253.724,17.5271,265.318,59.1472,81.4394,96.7742,54.3245,14.728,21.6058,69.8366,8.5736,26.3898,73.4899,286.11,32.4799,184.193,24.445,49.1703,64.5161,228.89,100.681,43.659,7.5019,194.763,483.708,131.509,106.653,910.831,39.946,10.8342,4.9279,342.022,25.9683,41.5371,44.0529,12.5258,44.3257,56.0713,19.7686,94.5207,55.6815,92.2996,105.879,514.926,64.1312,56.8449,353.573,382.609,1323.02,120.116
"CARHSP1",2267,954.278,1663.35,2006.47,2501.93,1817.39,2375.21,1682.17,887.236,1512.82,2146.3,1319.14,2478.84,1366.04,624.247,844.552,1004.3,1674.67,1218.27,1991.89,1598.68,2513.25,1998.43,2578.73,2482.52,1244.83,1596.28,787.577,953.135,1626,1468.95,1362.11,1633.38,2467.48,1464.76,3968.23,702.693,985.394,1025.31,1218.64,679.548,1511.47,716.851000000001,939.181,2007.9,826.045,2665.71,867.196,2600.51,2194.28,1606.46,2171.63,3753.35,2028.7,1241.73,1469.22,1902.55,569.396,853.511000000001,1503.53,1658.56,676.378,1365.15,2023.69,1550.64,957.705,1161.94,2011.78,897.151,1509.31,1467.2,2543.87,2340.34,2087,2024.61,1593.6,1670.58,1996.15
"CARKD",786.297,1011.48,620.348,847.947,787.287,1447.05,884.281,1578.92,1340.11,1446.37,797.703,2445.44,2665.29,514.079,653.966,992.348,736.003,970.946,1362.49,1158.78,1222.27,1138.15,1402.59,661.633,431.237,1022.71,640.271,1173.81,698.685,1792.54,1178.61,1165.75,1093.43,1284.66,585.061,609.54,1104.46,1484.4,979.292,1107.98,1623.95,854.373,653.038,1462.8,927.576,1118.13,572.35,1075.41,2022.34,962.875,1107.78,571.429,1917.7,1528.98,708.361,1533.04,570.31,400.325,1371.4,316.409,962.034,956.677,1391.67,1056.45,568.715,544.374,2011.01,740.94,1201.36,498.945,1376.12,1321.04,1125.28,681.877,655.927,1180.56,697.122,2099.13
"CARM1",1557.91,1856.54,1105.16,1390.78,2787.52,1266.74,1141.96,1713.12,1006.89,1119.61,1057.42,775.449,1592.64,1230.55,1487.82,905.724,1446.34,909.698,826.006,1624.85,1778.14,1350.24,1020.07,1117.25,1333.87,1560.98,1114.04,865.625,1124.75,527.406,1280.35,1702.89,1334.6,922.467,826.662,1267.28,1008.51,1029.42,1007.24,917.823,723.069,4000.4,1549.1,2138.97,1720.93,628.888,1070.05,1226.77,906.639,1415.21,1428.86,1446.49,1265.72,951.75,1301.76,1189.73,1546.83,1066.36,1296.33,1286.59,778.444,1009.59,1624.75,1656.04,737.707,1043.45,974.952,654.984,995.468,975.211,1363.53,1837.23,1284.12,1059.71,1275.51,2948.85,1469.06,2028.94
"CARNS1",38.0642,26.4758,20.1856,16.9509,22.6015,22.7979,27.7157,19.7849,33.0806,7.4964,37.9859,12.9741,54.5685,13.2123,8.7445,11.3254,13.6604,25.9128,61.8909,43.1921,9.8969,15.2509,7.6812,33.0531,31.643,30.7581,24.7039,19.1993,11.916,85.086,15.0289,52.6135,13.8889,23.2032,15.0107,14.728,11.3522,15.4532,6.0332,10.8664,8.2452,18.9949,21.0164,29.853,5.3335,43.2698,12.4424,9.0281,48.7993,25.245,21.0053,55.1217,30.5951,6.1783,15.9481,53.4711,10.7962,8.3965,19.4217,24.3193,32.3093,11.3764,18.0216,52.4104,15.4348,15.4103,14.8265,12.6873,16.5102,36.3924,26.3947,15.9212,26.0999,22.6858,68.8476,10.7417,38.8489,87.5543
"CARS2",656.422,1890.42,593.007,599.035,672.391,795.109,521.314,1863.82,788.408,776.227,662.544,764.375,1286.6,545.675,496.521,379.272,694.981,592.854,600.643,898.05,1464.3,950.587,1163.65,662.003,477.822,883.763,477.174,744.818,550.61,555.953,783.526,810.863,1563.67,1394.33,552.037,675.742,632.489,678.383,306.546,452.388,735.368,1221.08,742.369,367.2,996.764,916.543,671.069,590.436,838.146,863.46,455.794,615.145,1340.72,1030.76,513.602,619.353,565.628,251.69,1158,301.476,1065.64,391.804,929.191,615.43,240.083,729.601000000001,721.685,330.327,766.206,333.581,633.533,1031.8,784.489,343.207,654.551,517.872,1287.2,1669.52
"CARS",1214.25,2124,2057.13,1070.33,684.167,1314.4,1553.95,1185.38,944.521,1364.78,1265.02,963.736000000001,691.926,1021.55,1072.45,958.984,1139.19,1180.6,1728.78,825.175,913.402,513.921,1677.58,1185.92,1042.19,1100.08,608.45,1341.31,1108.77,910.452,1202.31,1320.15,869.949,1043.01,1461.4,884.351,1140.35,1489.45,644.605,1182.5,1155.05,1031.66,1850.97,884.842,1570.25,1694.41,647.465,2229.95,1148.07,1776.06,795.199,1326.14,958.544,1052.37,1278.17,1599.88,1098.25,681.203,986.448,1414.4,1277.88,1818.63,1086.1,1614.83,1002.87,1247.86,1978.65,717.783,1224.02,1007.91,1541.39,1106.94,2068.61,1440.68,1164.81,1589.26,1833.09,1524.6
"CARTPT",0,0,0,0,0,0,0,0,0,0,0,0,0.3173,0,0,7.3462,0.414,0,0,0,0,0,915.601999999999,0.2849,0,0,0.6768,0,0,0,0,1.0316,0,0,0,0,0,0,0,0,0,0,0.3821,0,0.8889,0,1.3825,0,0,0,55.5139,0,0,0.2942,0,4.861,0,0,0,0,0.6039,0,0,0,0,0,0,0,13.5966,0,0.2999,0,0,0,0,0,0.7194,0
"CASC1",22.8385,22.6935,25.232,7.6682,6.1212,22.3834,14.6069,21.5054,3.4459,11.9061,30.9187,16.9661,63.4518,3.0028,3.7477,11.3254,7.0372,8.6376,5.3559,11.1065,45.3608,23.0537,11.9059,9.1181,90.0609,7.6895,29.78,10.2617,18.0193,7.3295,20.2312,64.3054,11.048,5.0934,16.7977,3.0126,16.1128,30.6092,15.5594,143.592,5.3773,7.1231,7.2602,26.2706,10.6669,26.5519,17.0507,10.0903,478.747,13.662,11.5029,24.8048,45.5867,5.2957,20.5996,32.2042,18.8934,24.9187,1.1595,4.3982,16.6076,4.7622,33.2399,15.1628,74.0081,20.7947,10.7829,12.053,22.6611,34.2827,12.5975,6.2847,11.1857,34.9413,2.2029,241.432,3.5971,1.4472
"CASC2",18.4883,44.8467,50.8245,32.6909,19.7763,81.2435,20.225,8.172,19.297,52.034,41.5194,40.5855,134.201,24.0224,19.3629,17.4472,26.9068,19.2383,18.1507,28.7947,58.1443,27.3098,30.7249,46.1604,67.7485,20.6656,20.643,26.1508,25.8665,55.768,27.1676,88.033,26.5152,23.2032,29.3066,71.9665,108.395,30.312,34.6118,120.307,18.6413,25.7222,9.1708,54.9295,80.4462,43.2698,27.6498,69.0388,111.468,85.2391,23.5059,20.2113,99.7399,31.7741,50.1701,26.7355,22.942,21.3976,13.6242,23.2844,21.137,67.2002,104.125,43.5105,32.4528,33.42,43.5808,31.4012,17.8051,31.1181,42.5915,23.4629,83.5198,163.233,12.1162,45.0128,12.9496,34.7323
"CASC3",1369.22,7240.31,1044.61,2749.27,8852.74,1874.82,1836.73,1729.03,36591,1899.68,16591.9,15448.4,3374.68,1822.7,956.902,1404.65,1364.79,9509.62,1394.33,4626.49,1049.9,1302.36,27884.4,1236.36,1522.11,18944.6,14108.3,1502.84,33987.6,9594.33,1291.91,4680.19,1714.96,891.907,8796.28,12041.8,3028.84,8665.97,729.071,21318.3,1269.4,2421.05,22783,1444.29,1395.14,16850.6,3704.15,1030.8,3239.24,1039.5,2003,1109.78,2309.93,1167.7,11493.9,4170.14,1519.03,2094.26,1326.47,2317.83,1491.97,1725.51,22665.6,7232.96,1477.39,2339.96,1285.41,2530.17,3194.56,3143.46,1778.94,13764.3,947.054,3095.44,1338.29,1373.4,1048.92,9643.99
"CASC4",2496.47,3063.08,3367.76,1944.91,1941.85,1549.43,1774.18,551.398,1812.54,2755.15,2063.6,2965.07,1234.45,1974.64,6061.84,1481.79,1611.92,2181.78,2535.74,2282.6,3080.82,1738.96,2411.52,1334.09,2987.02,2287.64,2006.43,3213.57,3367.58,1852.77,2246.82,2087.69,3289.14,1496.89,3030.02,3348.62,3610.73,4107.88,2686.38,3427.96,2777.92,2066.48,1815.44,4100.01,2013.82,3766.93,1721.66,2634.09,2334.15,1816.45,2175.54,3019.29,3116.72,2905.85,2769.65,1626.61,2686.91,5186.62,2483.37,2577.84,3973.75,4197.63,1738.09,2886.53,3316.91,2532.31,2880.38,2781.38,3232.76,1870.78,4131.07,1959.15,2198.36,1341.59,1702.88,1861.89,1530.22,1180.9
"CASC5",90.8102,82.1289,203.298,167.087,206.239,278.549,205.995,4.7312,93.3839,651.306,339.223,152.029,289.975,364.54,608.37,490.358,564.214,84.0204,455.553,168.655,180.206,211.74,221.219,232.227,219.067,197.525,185.448,605.441,506.285,290.312,323.121,90.0963,257.576,187.323,345.604,278.159,706.033,526.597,238.472,649.268,246.281,466.165,253.726,334.055,156.004,577.259,184.332,466.277,79.1062,159.192,342.086,128.158,350.62,991.468,215.964,61.9778,381.916,411.701,188.419,621.176,546.541,590.251,233.48,500.7,181.261,591.348,90.3066,490.366,767.562,154.008,146.371,222.059,47.7256,351.239,199.917,84.9105,23.0216,102.026
"CASD1",2696.03,509.523,923.853,3379.28,685.109,583.627,618.735,267.097,450.379,212.546,226.148,1362.28,512.056,202.989,863.835,931.13,511.642,749.117,1624.34,552.036,574.845,674.233,863.37,588.973,307.911,550.763,788.156,603.124,440.02,405.035,745.665,567.056,556.187,539.332,750.536,400,1391.19,550.966,477.897,387.31,499.373,339.929,333.97,987.238,332.007,419.422,599.539,592.671,380.121,495.99,1705.43,641.249,840.447,427.479,966.189,342.701,348.448,1674.97,2886.88,984.672,413.68,956.413,750.1,1328.06,753.141,584.664,763.788,425.66,640.66,437.236,598.38,480.57,791.946,3864.93,386.066,1021.48,215.827,296.671
"CASK",2205,2174.25,988.736,1926.34,1161.62,2392.95,1932.61,258.925,630.944,2092.38,275.618,3197.6,240.165,1638.33,2096.81,1062.75,764.566,1014.53,2814.55,1159.19,1188.45,1284.98,5185.21,1203.02,2561.46,967.44,1232.83,1576.66,3068.52,2166.35,1829.48,1095.94,1071.97,1547.26,4127.23,2882.34,4099.24,1122.14,497.584,598.428,1547.59,4241.79,1554.45,2444.36,605.347,939.644,1774.19,1269.25,2068.58,2636.47,1906.48,2146.53,1352.3,1010.59,1867.59,1382.35,2286.64,8502.44,1956.08,2157.95,862.388,1200.34,1550.66,1575.61,1325.81,1848.5,919.241,955.039,1019.42,2689.35,1526.69,1650.78,2081.28,2383.05,720.364,1128.39,748.201,1351.66
"CASKIN1",83.3279,9.2179,17.7453,2.6274,15.143,1.3513,11.9739,1.2645,53.0531,20.5137,12.4912,11.9261,32.941,37.0185,23.1918,37.8482,18.1062,8.8496,7.1829,106.68,22.7711,45.2669,23.1397,9.3461,5.2049,16.2297,129.059,1.7511,24.5818,12.8521,12.4624,15.2579,6.5215,6.2932,12.7877,1.9113,33.8076,69.3938,8.4688,18.3254,6.1624,17.9304,1.2342,16.2669,30.1162,11.9582,5,10.2762,24.9185,8.0428,23.0458,1.9982,65.7366,19.6352,1.834,40.316,7.309,3.3505,15.8678,3.3167,46.9724,2.2647,5.7269,9.0021,45.0975,24.9833,1.9319,3.9838,14.3509,49.4251,7.0096,14.061,6.5026,21.7888,51.1579,119.964,5.777,4.1462
"CASKIN2",1282.46,847.635,571.012,870.98,799.605,854.694,802.962,1145.65,1501.19,2192.44,181.599,2476.1,1488.18,701.136,416.927,800.502,1016.53,532.43,1157.38,825.438,1475.68,1009.46,941.722,843.639,861.955,647.209,1455.59,451.691,460.394,518.066,766.919,447.063,925.369,1495.12,833.735,896.87,684.845,655.75,581.431,322.425,530.482,1128.34,678.655,1068.01,943.488,466.773,2108.44,1228.37,663.958,944.942,892.988000000001,677.078,812.269,780.571,421.98,738.806,799.868000000001,1203.2,463.706,775.285,539.27,993.664,1829.62,482.822,446.522,690.77,1058.48,967.257,422.431,563.919,751.731,1693.22,680.485,826.518999999999,504.651,655.836,1332.3,523.495
"CASP10",195.215,88.0724,258.088,770.861000000001,71.1006,365.181,357.683,348.387,337.009,190.938,105.124,159.681,168.147,631.189,445.347,207.53,278.588,439.34,397.53,292.472,178.144,129.101,1081.13,989.6,602.84,531.058,280.541,355.188,263.315,125.239,542.197,164.03,152.778,301.641,711.58,442.176,120.114,189.896,108.916,107.112,345.223,976.652,226.213,497.351,85.7797,71.7886,224.885,54.6999,480.801,206.118,128.532,1368.4,1367.29,267.432,752.219,559.623,246.424,492.416,750.199,1537.29,88.4733,222.237,109.331,235.682,108.44,156.517,527.013,1297.91,689.22,366.034,185.963,845.501000000001,521.999,182.008,400.385,85.422,1486.33,370.478
"CASP12",0,0,1.4418,0.8072,0.4709,0.829,0.3745,1.2903,1.0338,0.441,0,0,0,0.6006,0,0.9183,1.2419,1.9631,0,0,0.8247,0.3547,0,0,3.2454,0.4806,0,0,0.8719,0.6373,0,0,0,1.1319,3.2166,0,1.0986,1.7831,0,0.3881,1.0755,0.3957,3.0569,0,0,0,3.6866,0,1.0274,0,1.0003,1.378,0.9179,0.5884,0.3323,0.6076,1.0796,0.8126,0,1.2936,0.302,0.5291,0.4005,1.3185,0.3958,0.557,0.8986,0.3172,0.3237,1.5823,1.7996,0.838,1.4914,0.2608,0.5507,0,2.8777,5.0651
"CASP14",139.75,2.7016,1.0814,322.47,337.139,1.658,1.4981,0,1.0338,18.0796,35.3357,5.6554,21.5736,439.61,480.325,0,0,3.5336,3.5706,59.2349,183.093,11.3495,1.1522,467.018,5.6795,857.383,5.4146,505.472,46.5015,392.288,705.202,2416.78,297.664,1.1319,6.7906,27.4477,0.7324,65.3789,0,15.1353,263.488,6660.07,1.9106,53.4368,8.4446,1863.06,2.765,939.458,0,46.926,0.5001,183.739,7431.24,811.415,52.8281,92.3591,11.8758,58.7757,1.4494,440.075,116.253,594.484,1.2014,630.902,26.5163,1118.27,0,24182.4,38.2001,61.1814,178.464,342.726,0,42.764,15.4206,18.4143,0,688.133
"CASP1",226.754,84.8305,497.792,230.451,34.844,443.109,512.741,155.699,350.793,326.315,426.678,232.535,238.261,311.691,382.261,385.369,390.769,769.14,80.6368,397.367,280.412,129.101,85.2616,433.965,638.945,621.41,532.995,375.711,436.242,193.754,182.659,1153.37,341.225,560.838,609.364,830.125,145.748,176.82,103.2,92.3644,398.279,233.083,320.978,232.853,170.226,405.655,284.793,88.1572,456.145,841.996000000001,124.531,560.404,674.315,451.603,520.639,315.358,336.572,225.623,134.502,846.776,244.283,529.929,225.871,100.865,184.031,277.943,87.1616,257.553,461.638,565.928,172.465,694.25,192.394,358.8,790.858,54.2199,928.777,795.224
"CASP2",2042.96,1152.51,949.446,1363.74,1711.12,1826.74,1907.52,390.538,1225.71,903.098000000001,1054.77,1165.34,2454.95,1134.46,620.862,1253.44,928.490000000001,1009.82,1244.37,1014.4,898.144,2627.06,1476.72,2271.55,741.988,1018.38,1238.24,1298.6,1269.78,1055.77,1650.87,1509.28,1395.52,1361.06,1038.24,1610.04,1368.49,1313.82,2004.63,592.995,1238.21,1421.05,1327.86,2269.12,1090.69,1239.58,1470.51,1733.4,897.907,1230.77,1973.49,1152.04,2442.1,2008.53,1506.76,1511.77,1853.98,1930.12,1170.81,994.503,1326.49,1482.64,1685.62,1769.76,1447.31,1604.9,679.771,1359.45,1257.04,1730.49,977.804,1664.19,1615.21,2487.35,852.54,1448.59,347.482,1492.76
"CASP3",1300.16,878.563,902.586,1146.6,998.705,1270.05,974.545,1067.1,1307.37,1239.11,827.739,1233.87,752.855,1007.74,1283.57,776.86,612.646,1305.46,1107.19,1167.42,1011.96,1052.67,1609.6,811.227,965.923,911.21,1217.94,1237.36,949.212,934.352999999999,1941.62,697.386000000001,924.242,1253.54,1133.67,1362.01,918.428999999999,676.077,725.895,899.195,1246.82,956.866,926.634,1697.44,1099.14,1966.32,1473.73,1646.84,916.913,2066.23,1322.83,1098.76,1209.12,1412.47,1465.23,765.001,552.766,856.176,787.883,1735.21,1614.26,1500.1,1292.35,1492.54,755.516,868.919,1260.7,3129.33,1555.2,863.924,997.9,3250.03,811.335,794.263,1043.65,1179.54,1115.83,725.036
"CASP4",654.704,380.386,1195.28,697.003,323.484,756.062,943.083,1083.44,1208.82,896.042,812.721,501.996,380.076,910.449,680.824,645.24,1264.62,1345.11,608.793,709.996,757.938,626.707,329.909,711.782,1608.11,1336.54,1178.68,786.842,756.521,543.021,712.139,1374.48,1045.14,1206.56,1276.27,2135.23,290.763,516.79,476.627,261.182,904.822,1181.64,978.601000000001,531.98,519.123,841.795,878.802,532.13,1206.11,1187.11,315.579,1222.78,1892.92,1165.05,1305.09,575.422,728.475,1294.42,820.059,1674.41,339.399,1023.08,1081.3,691.224,559.216,755.477,1080.53,716.835,785.367,841.245,757.348,2635.8,1043.25,607.562,1292.58,220.46,1435.25,1642.55
"CASP5",4.3502,0,6.1278,2.018,0.4709,4.5596,1.8727,0,0.6892,2.6458,3.5336,0.998,2.2208,0.6006,6.2461,1.8365,2.8977,6.6745,1.1902,1.6454,2.4742,1.4187,0.7681,1.4247,5.2738,6.7283,9.1371,2.6482,10.4628,1.2747,0,2.0633,0.947,10.1868,2.1444,19.749,0.7324,0.5944,0.3175,0,1.7924,7.9145,2.6748,0.8956,0.8889,1.4751,1.3825,0,6.6778,12.177,0.5001,3.2154,26.3118,1.7652,9.3031,5.4686,5.1282,16.7931,0.8696,25.8716,0.9059,1.852,0.4005,0.6593,3.5619,1.114,0.4493,0.9516,3.2373,10.5485,1.4997,7.9606,2.2371,0.2608,6.0581,0,5.036,4.3415
"CASP6",412.18,283.128,993.060999999999,1367.77,800,797.928,380.529,700.645,754.997,690.993,288.869,591.484,351.206,334.512,491.568,559.535,292.663,389.478,838.503,718.223,567.423,1388.19,601.824,488.104,352.941,298.45,480.88,487.597,474.025,384.002,282.659,476.272,451.073,556.31,620.801,596.82,782.569,632.987,238.472,616.28,553.146,467.748,182.652,635.868,735.572,559.066,1144.7,948.486,366.251,557.767,924.731,700.965,487.991,568.697,676.798,531.673,600.81,868.635,321.473,752.345,207.444,820.425,814.177,561.022,1136.64,215.93,924.632,386.329,156.685,799.578,458.908,1035.72,633.11,488.918,379.457,1387.21,501.439,431.259
"CASP7",765.634,1091.45,846.715,548.481,550.441,1023.83,1821.75,695.914,1038.94,1949.95,1104.24,956.753,262.69,430.601,552.155,823.692,544.758,1022.38,379.975,755.245,784.742,346.161,468.939,2051.86,1291.28,702.151,1090.69,658.736,1174.16,1140.54,477.457,922.283,406.566,460.668,823.088000000001,1193.31,426.257,1426.15,441.38,613.952,909.841,441.235,546.809,677.961,1431.59,582.668,528.111,687.201,1085.4,1007.72,644.661,741.847,972.312,1618.71,1253.92,645.298,980.837,1031.15,322.922,970.442,558.922,965.408,649.58,1440.79,746.809,626.996,2426.15,514.789,836.517,641.878,955.009,1082.64,1808.35,1166.1,674.102,438.875,853.237,678.726
"CASP8",702.556,394.435,866.54,763.596,824.956,560,714.242,301.505,879.049,648.661,494.7,487.359,601.84,582.543,662.086,1052.95,725.241,701.217,1448.49,585.767,663.505,620.677,915.601999999999,893.29,1520.08,621.41,845.009,734.209,701.01,501.593,838.15,1125.52,604.482,715.903,998.213,624.602,580.427,963.744,604.278,448.627,1236.06,1049.47,475.736,823.047,324.007,1044.87,652.995,827.934,991.396,523.611,471.118,940.285,1754.93,656.958,1240.96,756.494,616.194,1117.28,757.736,1273.92,445.688,923.606,647.177,567.614,688.632,652.618,1018.98,1074.93,1018.45,896.097,683.563,979.994,1643.55,1189.57,552.94,498.21,763.309,536.179
