"","TCGA.3C.AALI.01","TCGA.A2.A04W.01","TCGA.A2.A04X.01","TCGA.A2.A0CX.01","TCGA.A2.A0D1.01","TCGA.A2.A0EQ.01","TCGA.A2.A0T1.01","TCGA.A2.A3XV.01","TCGA.A2.A3XZ.01","TCGA.A8.A07I.01","TCGA.A8.A08B.01","TCGA.A8.A08J.01","TCGA.A8.A08L.01","TCGA.A8.A08X.01","TCGA.A8.A094.01","TCGA.A8.A09G.01","TCGA.A8.A09X.01","TCGA.A8.A0A7.01","TCGA.AC.A23H.01","TCGA.AC.A3W5.01","TCGA.AC.A5EH.01","TCGA.AN.A04C.01","TCGA.AN.A0FV.01","TCGA.AO.A0J2.01","TCGA.AO.A0JE.01","TCGA.AO.A12D.01","TCGA.AR.A0TX.01","TCGA.AR.A24U.01","TCGA.AR.A254.01","TCGA.B6.A0I9.01","TCGA.B6.A0IK.01","TCGA.B6.A0RH.01","TCGA.B6.A0RS.01","TCGA.BH.A0AW.01","TCGA.BH.A0B7.01","TCGA.BH.A0EE.01","TCGA.BH.A18P.01","TCGA.BH.A18R.01","TCGA.BH.A1EN.01","TCGA.BH.A1EV.01","TCGA.BH.A203.01","TCGA.C8.A12L.01","TCGA.C8.A12P.01","TCGA.C8.A12Q.01","TCGA.C8.A12T.01","TCGA.C8.A12Z.01","TCGA.C8.A135.01","TCGA.C8.A137.01","TCGA.C8.A138.01","TCGA.C8.A1HF.01","TCGA.C8.A1HK.01","TCGA.C8.A26X.01","TCGA.C8.A26Y.01","TCGA.C8.A275.01","TCGA.C8.A278.01","TCGA.C8.A8HP.01","TCGA.D8.A13Z.01","TCGA.D8.A1JA.01","TCGA.D8.A1JF.01","TCGA.D8.A1JG.01","TCGA.D8.A1XJ.01","TCGA.D8.A1XT.01","TCGA.E2.A14P.01","TCGA.E2.A14V.01","TCGA.E2.A152.01","TCGA.E2.A1B0.01","TCGA.E2.A1LB.01","TCGA.E9.A1RH.01","TCGA.E9.A248.01","TCGA.EW.A1OV.01","TCGA.EW.A2FR.01","TCGA.EW.A6SD.01","TCGA.GM.A2DB.01","TCGA.GM.A2DH.01","TCGA.LL.A5YO.01","TCGA.OL.A5RZ.01","TCGA.OL.A66P.01","TCGA.UU.A93S.01"
"AACS",836.324,2453.06,921.33,1832.71,757.151,983.627,1159.94,10510.1,854.583,505.347,606.007,1758.82,413.706,693.046,2840.72,1338.84,3164.23,327.051,1891.24,699.712,3058.97,738.074,3799.52,1768.63,1311.16,1374.02,541.117,972.546000000001,702.173,732.632,987.283,704.952,821.338,898.698,1220.87,1412.22,975.190000000001,2551.56,1037.08,578.248,1170.46,1425.8,2032.48,1801.63,1076.02,1480.02,871.429,884.758,848.08,698.545,995.249,3767.11,1415.33,2265.37,1828.72,1843.54,1045.61,1150.33,2372.93,3579.85,1850.99,572.789,909.091,903.502,1293.36,3269.22,8954.72999999999,2486.08,2059.24,992.089,1162.87,730.701,1696.5,737.679,1453.94,412.276,3645.32,2227.93
"AACSL",35.3453,0.5403,0,0.4036,0.4709,1.2435,0,0.8602,1.7229,0,0,0,0.6345,0,3.123,0,11.5906,9.4229,2.0829,62.5257,3.7113,0,0.3841,0,0,0,0.3384,0,0,102.613,0,0,0,0,0,0,0,6.2407,0,0,0.3585,0,3.0569,5.9706,0.8889,0,0,6.9039,83.2156,0,3.5009,0,1.5298,0,0.9968,7.2915,0.2699,0.5417,0,530.108,0,0,1.2014,0.3296,1.1873,0,0,0.9516,9.3882,0,0.8998,1.6759,47.7256,0,0.5507,2.046,17.2662,0
"AADAC",1.0875,2.1613,2.8837,1.6144,0,0.4145,3.3708,28.3871,1.0338,0.8819,0,0,0.9518,1.2011,4.3723,0,3.3116,0.7852,1.1902,31.6742,0,70.9346,0,4.844,9.7363,2.403,14.5516,50.3155,4.3595,0,0,0.3439,13.2576,13.5823,3.9314,803.682,0,0.2972,1.2702,3.4928,19.7168,1.9786,2.6748,6.2691,0,1.4751,94.0092,0,30.3069,0,1.0003,12.8617,3.6714,2.942,0,7.8991,7.2874,0.5417,15.0736,10.0899,0,3.7039,0,0.3296,0,0.9283,13.9279,34.2558,5.8271,2.6371,3.2993,12.5694,15.66,1.5645,1.6522,1.5345,7.9137,65.123
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2738,0,0,0,0,0,0,0,0,5.0934,0,0.6695,0,0,0,0,1.7924,0,0,0,0,0,0,0,0,0,0,0.4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3237,0.5274,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6006,0,0,0,0,0,0,0,0,0,0.2849,0,0,0,0.331,0,0,0,0,0,0,0.3574,0,0,0,0,0,0,0,0,29.5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0.3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064,0,0,0,0,0,0.662,0.2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2942,0,0,0.2699,0,0,0,0,0,0,0,0,0.1857,0,0,0,0,0,0,0.7457,0,0,0,0,0
"AADAT",24.4698,36.2015,23.4298,376.148,349.853,132.643,64.7949,1162.58,38.2495,61.7352,24.735,100.798,387.056,36.6342,105.559,7.0401,41.395,24.3424,20.2336,541.341,64.7423,251.818,205.089,144.75,504.665,41.8118,16.2437,18.8683,38.3637,11.1536,11.5607,24.7593,15.1515,311.262,187.634,334.393,32.958,136.701,12.7016,20.5685,10.7546,145.232,212.839,104.187,137.336,43.2698,403.687,10.6213,33.389,721.117,449.112,19.752,48.0343,24.7132,237.893,148.868,456.41,37.1073,1416.33,1911.39,51.9365,88.3656,20.825,14.5035,164.638,48.459,473.998,1961.78,711.557,262.658,464.907,178.904,2293.06,428.162,321.63,1046.55,210.791,10.1302
"AAGAB",3541.05,1072.54,1632.51,1508.63,1500.18,1282.07,1509.76,1566.88,1516.2,1960.97,2639.58,2502.99,969.226,937.473999999999,1117.43,2382,1974.54,1847.27,2393.51,1007.4,1729.9,1820.54,1648.01,1275.4,1591.48,981.857,1053.47,1840.82,2380.59,1984.07,2998.27,1471.11,736.427,1006.79,2187.28,1421.59,2331.59,2359.88,1424.16,1529.06,2462.09,1359.72,2591.52,1606.39,1628.04,2064.17,931.797,2484.33,1113.65,1465.99,2242.56,1529.17,1661.01,2259.19,1492.48,1206.14,1195.14,2956.93,1248.21,1242.61,1949.43,2126.86,1814.58,1828.43,1150.89,1446.16,1739.64,700.975,1080.61,1186.71,1402.22,1323.98,1070.84,1787.48,1241.91,2033.76,1109.35,1267
"AAK1",848.287,1211.4,675.858,1094.54,585.756,783.42,967.428,443.871,1066.16,1591,494.7,852.961,959.074000000001,1226.94,1066.21,1363.33,731.864,1207.3,902.477,935.828999999999,456.907,607.909,1207.49,820.63,832.454,1230.33,1504.91,1248.95,969.847,1706.82,795.376,748.968,663.194,928.127,1481.42,366.192,1401.45,742.348,1489.26,1645.48,1384.48,978.235000000001,1424.91,1452.65,550.679,1426.43,912.442,1052.58,726.852,781.705,1319.33,915.021,1894.45,671.668,1140.29,1350.14,1170.85,2144.37,1771.72,1121.27,841.553,1199.81,802.964,944.376000000001,983.873,909.58,1072,1846.64,1675.62,1292.72,1322.14,700.953,619.687,1105.61,567.809,366.752,669.065,822.721
"AAMP",2979.88,2960.42,2652.97,2376.35,4401.65,2735.34,2389.92,3739.35,4301.17,1696.4,2513.25,1690.62,3182.74,1622.11,1903.19,1972.15,2324.33,2764.04,3284.98,2454.96,5717.94,3424.37,2790.21,3437.53,2118.46,1152.47,1983.76,1845.78,1666.5,2688.66,3796.53,1565.68,2904.99,1808.72,3663.33,1728.87,2161.68,2523.92,2743.54,1817.02,3228.89,1112.39,2051.59,2570.94,2127.6,3205.9,2924.88,2801.38,2453.83,1278.59,1270.32,2845.2,4524.71,2015.89,2288.22,4047.39,1455.87,264.626,1428.8,1963.13,2353.75,2072.36,3895.88,2582.28,1940.04,1729.67,3320.23,2806.44,1735.51,2746.84,2329.93,3098.77,2023.12,3081.62,2211.76,3479.28,5300,2678.73
