"","cell_type","GSM1232992","GSM1232993","GSM1232994","GSM1232995","GSM1232996","GSM1232997","GSM1232998","GSM1232999","GSM1233000","GSM1233001","GSM1233002","GSM1233003","GSM1233004","GSM1233005","GSM1233006","GSM1233007","GSM1233008","GSM1233009","GSM1233010","GSM1233011","GSM1233012","GSM1233013","GSM1233014","GSM1233015","GSM1233016","GSM1233017","GSM1233018","GSM1233019","GSM1233020","GSM1233021","GSM1233022","GSM1233023","GSM1233024","GSM1233025","GSM1233026","GSM1233027","GSM1233028","GSM1233029","GSM1233030","GSM1233031","GSM1233032","GSM1233033","GSM1233034","GSM1233035","GSM1233036","GSM1233037","GSM1233038","GSM1233039","GSM1233040","GSM1233041","GSM1233042","GSM1233043","GSM1233044","GSM1233045","GSM1233046","GSM1233047","GSM1233048","GSM1233049","GSM1233050","GSM1233051","GSM1233052","GSM1233053","GSM1233054","GSM1233055","GSM1233056","GSM1233057","GSM1233058","GSM1233059","GSM1233060","GSM1233061","GSM1233062","GSM1233063","GSM1233064","GSM1233065","GSM1233066","GSM1233067","GSM1233068","GSM1233069","GSM1233070","GSM1233071","GSM1233072","GSM1233073","GSM1233074","GSM1233075","GSM1233076","GSM1233077","GSM1233078","GSM1233079","GSM1233080","GSM1233081","GSM1233082","GSM1233083","GSM1233084","GSM1233085","GSM1233086","GSM1233087","GSM1233088","GSM1233089","GSM1233090","GSM1233091","GSM1233092","GSM1233093","GSM1233094","GSM1233095","GSM1233096","GSM1233097","GSM1233098","GSM1233099","GSM1233100","GSM1233101","GSM1233102","GSM1233103","GSM1233104","GSM1233105","GSM1233106","GSM1233107","GSM1233108","GSM1233109","GSM1233110","GSM1233111","GSM1233112","GSM1233113","GSM1233114","GSM1233115","GSM1233116","GSM1233117","GSM1233118","GSM1233119","GSM1233120","GSM1233121","GSM1233122","GSM1233123","GSM1233124","GSM1233125","GSM1233126","GSM1233127","GSM1233128","GSM1233129","GSM1233130","GSM1233131","GSM1233132","GSM1233133","GSM1233134","GSM1233135","GSM1233136","GSM1233137","GSM1233138","GSM1233139","GSM1233140","GSM1233141","GSM1233142","GSM1233143","GSM1233144","GSM1233145","GSM1233146","GSM1233147"
"1","stroma score",582.4248507822,754.647000166996,657.765555611231,583.574541048917,1351.15666779322,476.162103683261,1801.45146682534,1249.74424235153,254.240463027643,137.492602243145,733.691757762529,531.680935806143,1011.48635956038,973.978926654564,713.007273480188,781.709701796768,566.291952040772,-127.55199051196,584.616253440427,1002.15329256433,317.138339412872,606.593376532571,1180.3589794402,-152.390861223719,511.354797385352,298.935803422894,890.805281911955,685.521601352833,703.595776248782,903.995305908363,707.643394923487,467.608121929123,608.691772809712,743.366178116516,699.403556026449,1044.1665661247,692.529964751783,610.243039489842,474.728150949682,551.725674682014,-123.255517390602,578.852464533621,354.494704457618,138.906661064325,664.864790270299,-207.154832046777,1061.35878817918,556.909556330142,-150.140200253461,371.570414548808,531.152760836525,741.222481853302,767.199006420478,436.350788833913,226.280068879814,252.850916752854,244.204150761223,-88.3834752712472,90.3483856738156,369.140236479416,148.7284785358,-157.20461894274,71.7431695305918,839.734911871638,456.166930057017,52.6587614309336,686.005683593843,-39.2020180929362,265.6788625777,468.496562688436,752.569508512819,304.12240346928,566.388028426705,545.941069675495,662.357372897888,332.783985602945,541.943453383161,245.067733985881,541.075228943869,-53.3366322099877,514.098153233777,722.030240528098,90.1759776083047,-251.798052512164,960.432588068048,794.836620267499,309.636310594855,-5.93283622693808,267.99236231044,325.580438894231,425.427791289617,562.48115200701,399.331055883505,164.282071735816,776.872302520243,543.044086809947,99.5325454168009,701.798030527786,12.6381907792655,386.507694516428,1180.12592410465,184.34740519126,915.752092466008,478.063350924701,-72.7301278866265,1000.11092565068,461.493762184585,384.742613974854,821.729625795936,786.154524038037,863.96360932008,223.839034111906,876.998449626593,260.057896819409,225.953574430967,-187.35622786485,357.38580937778,314.566173486792,296.564480420237,121.861471122323,228.34269266858,462.219923156844,36.3381541864398,471.47661898916,817.911269848043,817.294787280198,424.485476046731,984.959047350361,339.416155367046,843.811481551344,633.669484095483,90.1384431483055,618.211809566832,312.257105097825,1011.85003673109,145.224365260115,672.755613850556,408.593950232615,592.481290009285,413.666052001534,141.70157269317,360.258150392894,77.3784221755796,380.629302843769,695.318833092852,-387.026093882473,1009.67147122305,-256.173564998512,157.098346482435,29.713949710562,146.41629809648,35.6571811280772,381.290908473509,818.611367837704,562.297427952405,1000.24842853643
"2","immune score",961.599551839337,1412.2195685105,954.335849211138,900.099051848191,794.885982435604,465.136849464365,1597.90552964419,1248.38852490879,677.964920180486,418.286724410679,931.338221406031,1335.9547135622,522.995621213915,1041.50353287822,1818.07419136321,970.784028727186,749.337476358948,584.19550863992,806.738442657108,864.579314857404,946.698844224462,786.665299836151,1777.71128697726,420.127942745275,1757.38291587444,1091.37351765467,525.737707356674,1454.1070411688,760.679085516083,590.021778063026,1394.550815473,403.675983444781,1163.19737755934,1320.81051157377,425.366896375883,1293.96865832843,749.736735603136,789.560187541671,819.21979127574,1104.37128986032,318.415526377558,1456.27766957346,631.154526931404,1162.14368358015,564.575458769909,102.950766380927,1304.98133944949,469.391326187393,482.98061330229,1063.07707687464,1626.06438771023,1557.56126648818,1217.18608000894,532.831931450937,1155.85759053867,546.540726744945,757.908540559666,917.09385905869,585.985148834477,1001.31756224836,661.08213286604,685.063635500482,676.85873513016,931.080657126711,1169.79569363205,380.464580202357,500.156863581494,721.993557782055,1163.04440302247,622.93049075105,659.166318686502,734.144545382974,723.113693380085,168.555864037809,754.415395320147,782.747551365539,724.499816468656,420.864825283718,923.271571289439,941.570470502108,1528.54133992577,1441.38338875574,544.703289874788,32.8018758821524,884.92535029553,482.828557636375,893.322248003153,390.508597779253,978.197945887076,650.749580726311,830.211057303005,1012.62128216875,1019.3718743061,594.606636805435,749.155221639782,1319.57170244892,201.067566991582,847.460877331003,747.273946119507,380.36153817067,1718.33425746112,822.717180867601,1533.8230185025,737.412070200869,636.040595915131,752.133685788518,1129.15116814734,1219.80336073367,1070.30874364421,662.387881923924,1494.3785732424,692.29875845773,1309.75966274206,1203.87499698403,738.006613873166,759.933736274866,573.012916458616,714.794863389493,372.926394520006,783.738435386608,1374.26965309358,863.148033267524,685.388762757318,470.955186011904,780.825667481303,1274.22596874731,673.032924233373,1005.32879886705,1305.78223627547,669.812055991625,1304.2697715832,253.210447826855,829.475575384451,484.600806982161,1865.46516910647,725.500738089868,977.155361253031,735.671495394812,384.423274095967,952.417294631502,831.408498152068,519.197564967048,287.81959266175,689.50904001559,347.484414704131,153.624142458461,1667.8199280772,471.734650928028,834.177799982572,350.466483409631,581.593163758645,1208.84951867582,445.01792700292,1468.40474888217,1101.75908106263,1036.10623778303
"3","estimate score",1544.02440262154,2166.8665686775,1612.10140482237,1483.67359289711,2146.04265022883,941.298953147626,3399.35699646953,2498.13276726032,932.205383208129,555.779326653824,1665.02997916856,1867.63564936834,1534.4819807743,2015.48245953278,2531.0814648434,1752.49373052395,1315.62942839972,456.643518127961,1391.35469609753,1866.73260742173,1263.83718363733,1393.25867636872,2958.07026641745,267.737081521556,2268.73771325979,1390.30932107757,1416.54298926863,2139.62864252163,1464.27486176486,1494.01708397139,2102.19421039648,871.284105373903,1771.88915036905,2064.17668969029,1124.77045240233,2338.13522445313,1442.26670035492,1399.80322703151,1293.94794222542,1656.09696454234,195.160008986956,2035.13013410708,985.649231389022,1301.05034464448,1229.44024904021,-104.204065665851,2366.34012762867,1026.30088251753,332.840413048829,1434.64749142345,2157.21714854676,2298.78374834148,1984.38508642941,969.18272028485,1382.13765941848,799.391643497799,1002.11269132089,828.710383787442,676.333534508293,1370.45779872777,809.81061140184,527.859016557742,748.601904660752,1770.81556899835,1625.96262368907,433.12334163329,1186.16254717534,682.791539689119,1428.72326560017,1091.42705343949,1411.73582719932,1038.26694885225,1289.50172180679,714.496933713304,1416.77276821804,1115.53153696848,1266.44326985182,665.9325592696,1464.34680023331,888.23383829212,2042.63949315955,2163.41362928384,634.879267483093,-218.996176630012,1845.35793836358,1277.66517790387,1202.95855859801,384.575761552315,1246.19030819752,976.330019620541,1255.63884859262,1575.10243417576,1418.70293018961,758.888708541251,1526.02752416003,1862.61578925887,300.600112408383,1549.25890785879,759.912136898773,766.869232687097,2898.46018156578,1007.06458605886,2449.5751109685,1215.47542112557,563.310468028505,1752.24461143919,1590.64493033192,1604.54597470853,1892.03836944015,1448.54240596196,2358.34218256248,916.137792569636,2186.75811236866,1463.93289380343,963.960188304133,572.577508410016,930.398725836396,1029.36103687628,669.490874940243,905.59990650893,1602.61234576216,1325.36795642437,721.726916943758,942.431805001065,1598.73693732935,2091.52075602751,1097.5184002801,1990.28784621741,1645.19839164252,1513.62353754297,1937.93925567868,343.34889097516,1447.68738495128,796.857912079987,2877.31520583756,870.725103349983,1649.91097510359,1144.26544562743,976.904564105252,1366.08334663304,973.110070845238,879.455715359942,365.19801483733,1070.13834285936,1042.80324779698,-233.401951424013,2677.49139930025,215.561085929516,991.276146465008,380.180433120193,728.009461855125,1244.5066998039,826.308835476428,2287.01611671987,1664.05650901503,2036.35466631946
"4","tumor purity",0.673670503607238,0.603384315517322,0.666251909253095,0.680190918213261,0.605819067656138,0.736334823008414,0.450051447884752,0.563909528829376,0.7372373362708,0.773425328960474,0.660438084048304,0.637818018056016,0.674705016727903,0.620954382475402,0.559908801526516,0.650743616563524,0.698063887472851,0.782567435762149,0.690061769242096,0.637920105437468,0.70348732204637,0.689859466905608,0.506912084506312,0.799527677938437,0.591392622091205,0.690172819851351,0.687381100347096,0.606567860279277,0.682275481346783,0.679077164289796,0.610927332748117,0.74324965859169,0.648579244896777,0.615335829062845,0.717847696455344,0.583147650598249,0.684633751271346,0.6891636823223,0.70033919616039,0.661422117754635,0.805880972619141,0.618691149494097,0.731914399814594,0.699594632656608,0.707066753952804,0.831112413885068,0.579779342408411,0.727835369736781,0.793751395465035,0.685448518793047,0.604513237112145,0.587830399308285,0.624525952130299,0.733559258967959,0.691040338522511,0.750268234469011,0.730265570545256,0.747416007183328,0.762087573686264,0.692278567573721,0.749256230585559,0.776016736230729,0.755176316546509,0.648699185480817,0.664733226225451,0.784712169234859,0.71154472296097,0.761473451785023,0.686081439198321,0.721246583685028,0.687893430160717,0.72662973826875,0.700804917757609,0.758448521786375,0.687356602771137,0.718791198777591,0.703215394121851,0.763075211133794,0.682267761139039,0.741582836452819,0.6178247794789,0.603788426958692,0.766013323028736,0.840364428907429,0.640333199488233,0.702043286838941,0.709810229598354,0.789109468875667,0.705325946475071,0.732845832663229,0.704342092771148,0.670292120192806,0.687150790259363,0.754185629026742,0.675620475429087,0.638385362789487,0.796621004174082,0.673102458865018,0.754086971992668,0.753415866934826,0.514435122710492,0.729768799393274,0.569781470475818,0.708514829775238,0.77272410398147,0.650771381962622,0.66859731317303,0.667078547225027,0.635055093928076,0.683962009363528,0.580735491297392,0.738828791006261,0.601053312478067,0.682312179220882,0.734080049104501,0.771859953513855,0.73741648597373,0.727527259879284,0.762737526925379,0.739870311233143,0.667289973325513,0.697039599752977,0.757756425163778,0.736222298461241,0.667713554861055,0.612166949048946,0.720626944643895,0.623849011615045,0.662621131074303,0.676961710365644,0.629836055114938,0.792812223955598,0.68405356366653,0.750514072937943,0.51709427176556,0.743304552054779,0.662102881182333,0.715852486477655,0.732788447970484,0.692741797264683,0.733167340128816,0.742446643244252,0.790853471806957,0.723407634102422,0.726172100863144,0.841508708825526,0.541974181989122,0.804104301699723,0.731351339895246,0.789505610080062,0.757154329860306,0.70550111418999,0.747650159249719,0.589226921958846,0.660545373719405,0.618549923993163
